main_speaker,title,speaker_occupation,duration,languages,views,comments
Abigail Marsh,Why some people are more altruistic than others,Psychologist,741,28,1690453,95
Eric Liu,There's no such thing as not voting,Civics educator,813,22,793098,58
David Burkus,Why you should know how much your coworkers get paid,Management researcher,449,32,1713788,73
Nadia Lopez,Why open a school? To close a prison,Educator,430,32,1029397,34
Sebastian Kraves,The era of personal DNA testing is here,Biotech entrepreneur,784,22,1052018,10
Rebecca MacKinnon,We can fight terror without sacrificing our rights,Internet freedom activist,716,21,1053126,35
J.D. Vance,America's forgotten working class,Author,882,21,1077686,66
Camille A. Brown,A visual history of social dance in 25 moves,Choreographer and educator,276,33,778810,23
Oded Shoseyov,How we're harnessing nature's hidden superpowers,Nanobiotechnologist,801,21,1211098,20
Sam Harris,Can we build AI without losing control over it?,"Neuroscientist, philosopher",867,27,2592561,490
Helen Fisher,Technology hasn't changed love. Here's why,"Anthropologist, expert on love",1145,25,1593458,36
Ellen Jorgensen,What you need to know about CRISPR,"Biologist, community science advocate",593,28,1400803,39
Sayu Bhojwani,Immigrant voices make democracy stronger,Immigration scholar,762,22,783649,72
Adam de la Zerda,We can start winning the war against cancer,"Biologist, electrical engineer",762,23,985203,56
Isaac Lidsky,What reality are you creating for yourself?,"Author, entrepreneur",706,33,2561564,109
Rainn Wilson,Ideas worth dating,"Actor, writer",269,33,792297,13
John McWhorter,4 reasons to learn a new language,Linguist,601,34,2173228,83
Ione Wells,How we talk about sexual assault online,"Writer, activist",849,24,1024139,29
Pico Iyer,The beauty of what we'll never know,Global author,605,28,1477238,32
Melissa Walker,Art can heal PTSD's invisible wounds,Creative arts therapist,588,26,827933,25
Jim Hemerling,5 ways to lead in an era of constant change,Organizational change expert,801,23,1811178,24
Trevor Copp and Jeff Fox,Ballroom dance that breaks gender roles,Artistic director,933,16,571009,86
Rachel Botsman,We've stopped trusting institutions and started trusting strangers,Trust researcher,1028,20,1307557,39
Todd Coleman,A temporary tattoo that brings hospital care to the home,Bioelectronics innovator«_è,579,29,1134472,24
Zeynep Tufekci,Machine intelligence makes human morals more important,Techno-sociologist,1062,23,1194781,84
Manwar Ali,Inside the mind of a former radical jihadist,Peace activist,1042,25,1805897,45
Philippa Neave,The unexpected challenges of a country's first election,Electoral consultant,651,20,859817,38
Wanis Kabbaj,What a driverless world could look like,Transportation geek,691,29,2859109,93
Ian Bremmer,How the US should use its superpower status,Political theorist,937,23,851675,49
Alyssa Monks,How loss helped one artist find beauty in imperfection,Painter,788,24,1134525,31
Tasos Frantzolas,Everything you hear on film is a lie,Entrepreneur,993,27,1236485,18
Silk Road Ensemble + Rhiannon Giddens,"""St. James Infirmary Blues""",Musical explorers,523,25,820295,6
Kelli Jean Drinkwater,Enough with the fear of fat,"Artist, activist ",740,26,1594248,326
Christopher Soghoian,Your smartphone is a civil rights issue,Privacy researcher and activist,464,30,1307805,146
Kandice Sumner,How America's public schools keep kids in poverty,Educator,830,19,1181475,128
Mallory Soldner,Your company's data could help end world hunger,Data activist,675,21,951340,11
Tim Leberecht,4 ways to build a human company in the age of machines,Business romantic,704,23,1385538,23
"Amanda Palmer, Jherek Bischoff, Usman Riaz","""Space Oddity""","Musician, blogger",369,28,738590,8
Halla T’_masd’_ttir,It's time for women to run for office,Change catalyst,1158,22,877915,90
Suzanne Barakat,Islamophobia killed my brother. Let's end the hate,Physician,888,23,1177013,121
Jonathan Haidt,Can a divided America heal?,Social psychologist,1217,21,1515162,214
Fawn Qiu,Easy DIY projects for kid engineers,Technologist,423,33,1047389,18
Hector Garcia,"We train soldiers for war. Let's train them to come home, too",Psychologist,631,24,990521,58
Kimberl’© Crenshaw,The urgency of intersectionality,Civil rights advocate,1129,16,857330,106
Bettina Warburg,How the blockchain will radically transform the economy,Blockchain entrepreneur and researcher,897,21,1985742,48
Steven Johnson,The playful wonderland behind great inventions,Writer,445,38,1122671,45
Victor Rios,Help for kids the education system ignores,"Educator, author",713,23,1158432,37
Roger Antonsen,Math is the hidden secret to understanding the world,"Logician, mathematician, computer scientist",1024,25,1910593,82
Sandi Toksvig,A political party for women's equality,"Broadcast personality, politician, author",1188,22,799891,71
Juan Enriquez,What will humans look like in 100 years?,Futurist,945,23,2595890,93
Adam Galinsky,How to speak up for yourself,Social psychologist,908,28,3225186,69
Joe Lassiter,We need nuclear power to solve climate change,Energy scholar,826,23,1070583,291
"Alicia Garza, Patrisse Cullors and Opal Tometi",An interview with the founders of Black Lives Matter,"Writer, activist",965,13,782276,99
Danny Dorling,Maps that show us who we are (not just where we are),Social geographer,847,23,1384978,43
Ryan Gravel,How an old loop of railroads is changing the face of a city,"Urban planner, designer, author",686,20,825412,13
Kate Adams,4 larger-than-life lessons from soap operas,Digital storyteller,747,24,1381604,65
Tiq Milan and Kim Katrin Milan,A queer vision of love and marriage,Transgender activist,1027,13,1172873,53
Natalie Panek,Let's clean up the space junk orbiting Earth,"Rocket scientist, explorer",615,24,962489,40
Jia Jiang,What I learned from 100 days of rejection,"Author, blogger, entrepreneur",931,29,3464767,79
Elizabeth Lesser,Say your truths and seek them in others,Wellness specialist,944,23,1290086,42
Veerle Provoost,Do kids think of sperm donors as family?,Bioethicist,746,23,1026629,44
Kevin B. Jones,Why curiosity is the key to science and medicine,Cancer researcher,1033,22,888652,34
Kevin Kelly,How AI can bring on a second Industrial Revolution,Digital visionary,824,22,1389133,76
Rebecca Brachman,Could a drug prevent depression and PTSD?,"Neuroscientist, writer, entrepreneur",1103,19,1173589,85
Dena Simmons,How students of color confront impostor syndrome,Educator,620,16,1005451,52
Laura Vanderkam,How to gain control of your free time,Author,714,33,4864165,90
David Autor,Will automation take away all our jobs?,Economist,1117,18,1232506,135
Chinaka Hodge,What will you tell your daughters about 2016?,"Writer, educator",237,26,1119309,35
Anjali Tripathi,Why Earth may someday look like Mars,Astrophysicist,715,24,975597,40
Sharon Brous,It's time to reclaim religion,Rabbi,987,18,1219102,240
James Beacham,How we explore unanswered questions in physics,Experimental particle physicist,954,18,1430257,53
Adam Grant,Are you a giver or a taker?,Organizational psychologist,808,36,3535736,76
Erika Gregory,The world doesn't need more nuclear weapons,Nuclear reformer,899,18,899560,92
Sam Kass,Want kids to learn well? Feed them well,Food entrepreneur,728,28,1345520,45
Sofia Jawed-Wessel,The lies we tell pregnant women,Sex researcher,896,20,1614524,116
Mandy Len Catron,A better way to talk about love,Writer,917,24,1802516,43
George Tulevski,The next step in nanotechnology,Materials scientist,575,26,1284067,58
Dan Bricklin,Meet the inventor of the electronic spreadsheet,Software pioneer,720,19,992523,18
Alejandro S’çnchez Alvarado,"To solve old problems, study new species",Developmental and regeneration biologist,759,20,1059199,43
Sisonke Msimang,"If a story moves you, act on it","Writer, activist",766,20,1147037,31
Jennifer Brea,What happens when you have a disease doctors can't diagnose,Filmmaker,1027,31,1406574,266
Ashley Judd,How online abuse of women has spiraled out of control,"Actor, activist",970,17,1422701,360
Emily Parsons-Lord,Art made of the air we breathe,Artist,649,19,827288,14
Robb Willer,How to have better political conversations,Social psychologist,721,19,1243853,128
Paul Knoepfler,The ethical dilemma of designer babies,Biologist,1099,16,1082248,92
Jeanne Gang,Buildings that blend nature and city,Architect,715,20,1035995,31
Caleb Barlow,Where is cybercrime really coming from?,Cybercrime fighter,867,18,1304221,54
Deeyah Khan,What we don't know about Europe's Muslim kids,Filmmaker,1211,19,1195885,59
Deepika Kurup,A young scientist's quest for clean water,"Inventor, student scientist",479,32,958917,29
Sarah Parcak,Help discover ancient ruins -- before it's too late,Satellite archaeologist + TED Prize winner,1308,17,799873,20
Alan Smith,Why you should love statistics,Data visualisation editor,769,21,1369939,34
Eduardo Brice’±o,How to get better at the things you care about,Learning expert,682,22,2031509,105
Sue Klebold,My son was a Columbine shooter. This is my story,Activist,918,27,2359347,133
Nagin Cox,What time is it on Mars?,Spacecraft operations engineer,827,23,1374091,66
Maurice Conti,The incredible inventions of intuitive AI,"Designer, futurist",923,23,2759051,125
Thordis Elva and Tom Stranger,Our story of rape and reconciliation,Writer,1146,21,3950921,308
Joshua Smith,New nanotech to detect cancer early,Cancer fighter,746,17,893022,51
Jeff Speck,4 ways to make a city more walkable,Urban planner,1117,13,1354647,33
Aala El-Khani,What it's like to be a parent in a war zone,Humanitarian psychologist,856,20,896491,36
Miriam Zoila P’©rez,How racism harms pregnant women -- and what can help,"Writer, activist",745,14,793925,41
 Rodrigo y Gabriela,An electrifying acoustic guitar performance,Guitar duo,257,32,1138566,33
Amy Adele Hasinoff,How to practice safe sexting,Communications researcher,865,16,1240167,53
Lara Setrakian,3 ways to fix a broken news industry,Journalist,517,23,942996,93
Salil Dudani,How jails extort the poor,Legal activist,763,15,944259,30
Grady Booch,Don't fear superintelligent AI,"Scientist, philosopher",620,23,1362265,270
Yuval Noah Harari,Nationalism vs. globalism: the new political divide,Historian,3608,19,1514291,345
Brittney Cooper,The racial politics of time,Cultural theorist,749,10,690546,52
Jonathan Rossiter,A robot that eats pollution,Roboticist,850,16,1107711,44
Charity Wayua,A few ways to fix a government,Public sector researcher,711,22,952784,22
Stacy Smith,The data behind Hollywood's sexism,Media researcher,944,17,891398,100
Ani Liu,"Smelfies, and other experiments in synthetic biology","Designer, artist",440,19,760537,6
Jeff Kirschner,This app makes it fun to pick up litter,Entrepreneur,370,29,1004810,74
Lux Narayan,"What I learned from 2,000 obituaries",Entrepreneur,368,27,1395806,22
Kathy Hull,Stories from a home for terminally ill children,Pediatric psychologist,918,17,890330,19
Sara Ramirez,"""Rollercoaster""","Singer, songwriter, actress",299,29,804359,13
Carrie Poppy,A scientific approach to the paranormal,"Writer, radio host, comedian",778,19,1257858,191
Megan Phelps-Roper,I grew up in the Westboro Baptist Church. Here's why I left,"Writer, activist",917,22,4503368,197
Caroline Paul,"To raise brave girls, encourage adventure",Author,761,23,1465808,28
Jude Kelly,Why women should tell the stories of humanity,"Theater director, producer",802,18,1086882,66
Joy Buolamwini,How I'm fighting bias in algorithms,Poet of code,524,16,869310,60
John Koenig,Beautiful new words to describe obscure emotions,Writer,448,29,1173364,80
Caitlin Doughty,A burial practice that nourishes the planet,Progressive mortician,714,17,933978,37
Carrie Nugent,Adventures of an asteroid hunter,Asteroid hunter,366,23,976473,33
Peggy Orenstein,What young women believe about their own sexual pleasure,"Journalist, author",1020,18,1750573,101
Karina Galperin,Should we simplify spelling?,Literary scholar,973,10,448733,70
